domain,verdict,program_type,source,program_url,platform,contact_email,notes
memberstack.com,NOT_FOUND,N/A,none,,,,
merrittadvisory.com,NOT_FOUND,N/A,none,,,,
morepaymentevolution.com,NOT_FOUND,N/A,none,,,,
modrek.ai,NOT_FOUND,N/A,none,,,,
maximo.pe,NOT_FOUND,N/A,none,,,,
mkt1.co,NOT_FOUND,N/A,none,,,,
mercury.com,NOT_FOUND,N/A,none,,,,
miracleplus.com,NOT_FOUND,N/A,none,,,,
morningstar.com,NOT_FOUND,N/A,none,,,,
morgans.com.au,NOT_FOUND,N/A,none,,,,
moomoo.com,NOT_FOUND,N/A,none,,,,
monest.com.br,NOT_FOUND,N/A,none,,,,
n3xt.io,NOT_FOUND,N/A,none,,,,
octus.com,NOT_FOUND,N/A,none,,,,
mollie.com,NOT_FOUND,N/A,none,,,,
moodys.com,NOT_FOUND,N/A,none,,,,
nickel.com,NOT_FOUND,N/A,none,,,,
msbureau.com,NOT_FOUND,N/A,none,,,,
optimizedpayments.com,NOT_FOUND,N/A,none,,,,
onepay.com,NOT_FOUND,N/A,none,,,,
mynyfy.com,NOT_FOUND,N/A,none,,,,
msci.com,NOT_FOUND,N/A,none,,,,
orbitfin.ai,NOT_FOUND,N/A,none,,,,
olivepartners.co,NOT_FOUND,N/A,none,,,,
nachonacho.com,NOT_FOUND,N/A,none,,,,
owlvc.com,NOT_FOUND,N/A,none,,,,
pavefi.com,NOT_FOUND,N/A,none,,,,
optionsamurai.com,NOT_FOUND,N/A,none,,,,
ortex.com,NOT_FOUND,N/A,none,,,,
outdoorsy.com,NOT_FOUND,N/A,none,,,,
pazy.io,NOT_FOUND,N/A,none,,,,
payouts.com,NOT_FOUND,N/A,none,,,,
paywall.one,NOT_FOUND,N/A,none,,,,
paytmpayments.com,NOT_FOUND,N/A,none,,,,
parqet.com,NOT_FOUND,N/A,none,,,,
preqin.com,NOT_FOUND,N/A,none,,,,
propertymanagement.com,NOT_FOUND,N/A,none,,,,
quanthome.com,FOUND,N/A,security_page,https://quanthome.com/security,self-hosted,your@email.com,Found at /security
portao3.com.br,NOT_FOUND,N/A,none,,,,
printmailsolutions.com,NOT_FOUND,N/A,none,,,,
paymob.com,NOT_FOUND,N/A,none,,,,
payhawk.com,NOT_FOUND,N/A,none,,,,
quiverquant.com,NOT_FOUND,N/A,none,,,,
public.com,NOT_FOUND,N/A,none,,,,
racap.com,NOT_FOUND,N/A,none,,,,
rootline.com,NOT_FOUND,N/A,none,,,,
rupeezy.in,NOT_FOUND,N/A,none,,,,
quicknode.com,NOT_FOUND,N/A,none,,,,
roundtreasury.com,NOT_FOUND,N/A,none,,,,
rockhopper.co,NOT_FOUND,N/A,none,,,,
quartr.com,NOT_FOUND,N/A,none,,,,
prosal.com,NOT_FOUND,N/A,none,,,,
smarttbot.com,NOT_FOUND,N/A,none,,,,
ramp.com,NOT_FOUND,N/A,none,,,,
sumup.com,FOUND,N/A,security_page,https://sumup.com/security.txt,self-hosted,9554c792fe3f41df840d6ca36332a0f5@o153781.ingest.sentry.io,Found at /security.txt
sodagift.com,NOT_FOUND,N/A,none,,,,
southparkcommons.com,NOT_FOUND,N/A,none,,,,
sourcecodecap.com,NOT_FOUND,N/A,none,,,,
scanpower.com,NOT_FOUND,N/A,none,,,,
swrecovery.com,NOT_FOUND,N/A,none,,,,
sorellalabs.xyz,NOT_FOUND,N/A,none,,,,
shinkansen.finance,NOT_FOUND,N/A,none,,,,
spotpay.ai,NOT_FOUND,N/A,none,,,,
shinhansec.com.vn,NOT_FOUND,N/A,none,,,,
taxrise.com,NOT_FOUND,N/A,none,,,,
synply.io,NOT_FOUND,N/A,none,,,,
tenderly.co,NOT_FOUND,N/A,none,,,,
tbobank.com,NOT_FOUND,N/A,none,,,,
stocktwits.com,NOT_FOUND,N/A,none,,,,
tax1099.com,NOT_FOUND,N/A,none,,,,
tavanbogd.com,NOT_FOUND,N/A,none,,,,
techstars.com,NOT_FOUND,N/A,none,,,,
sokin.com,NOT_FOUND,N/A,none,,,,
tipranks.com,NOT_FOUND,N/A,none,,,,
thefly.com,NOT_FOUND,N/A,none,,,,
thorney.com.au,NOT_FOUND,N/A,none,,,,
tera.cloud,NOT_FOUND,N/A,none,,,,
toss.im,NOT_FOUND,N/A,none,,,,
trepp.com,NOT_FOUND,N/A,none,,,,
trysmartbite.com,NOT_FOUND,N/A,none,,,,
tidewatercap.com,NOT_FOUND,N/A,none,,,,
unify-technologies.com,NOT_FOUND,N/A,none,,,,
tuyo.com,NOT_FOUND,N/A,none,,,,
tryspecter.com,NOT_FOUND,N/A,none,,,,
tradier.com,NOT_FOUND,N/A,none,,,,
unifiqueinvest.com.br,NOT_FOUND,N/A,none,,,,
upstox.com,FOUND,N/A,security_page,https://upstox.com/bugbounty,self-hosted,complaints.mcx@upstox.com,Found at /bugbounty
tokenterminal.com,NOT_FOUND,N/A,none,,,,
totemvc.com,NOT_FOUND,N/A,none,,,,
tradestation.com,NOT_FOUND,N/A,none,,,,
unest.co,NOT_FOUND,N/A,none,,,,
vblh.de,NOT_FOUND,N/A,none,,,,
versi.com.br,NOT_FOUND,N/A,none,,,,
vvr-bank.de,NOT_FOUND,N/A,none,,,,
yoco.com,NOT_FOUND,N/A,none,,,,
valuein.biz,NOT_FOUND,N/A,none,,,,
vntr.vc,NOT_FOUND,N/A,none,,,,
we-wealth.com,NOT_FOUND,N/A,none,,,,
vela.partners,NOT_FOUND,N/A,none,,,,
xyt.one,NOT_FOUND,N/A,none,,,,
ycharts.com,NOT_FOUND,N/A,none,,,,
wecapital.com.br,NOT_FOUND,N/A,none,,,,
vrnu.de,NOT_FOUND,N/A,none,,,,
vico.io,NOT_FOUND,N/A,none,,,,
wtax.co,NOT_FOUND,N/A,none,,,,
zubi.group,NOT_FOUND,N/A,none,,,,
wasabil.com,NOT_FOUND,N/A,none,,,,
zestyfinance.com,NOT_FOUND,N/A,none,,,,
besample.app,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@besample.app,disclosure channel confirmed
bdtax.com.bd,FOUND,VDP,disclose.io,https://bdtax.com.bd/security.txt,self-hosted,security@bdtax.com.bd,disclosure channel confirmed
beemdata.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@beemdata.com,disclosure channel confirmed
betterbugs.io,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@betterbugs.io,disclosure channel confirmed
betterstack.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@betterstack.com,disclosure channel confirmed
bigvu.tv,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bigvu.tv,disclosure channel confirmed
bigenius-x.com,FOUND,VDP,disclose.io,https://cert.at/en/,self-hosted,security@bigenius-x.com,disclosure channel confirmed
bigdata.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@ravenpack.com,disclosure channel confirmed
bhhc.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bhhc.com,disclosure channel confirmed
binderr.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@binderr.com,disclosure channel confirmed
bfl.ai,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bfl.ai,disclosure channel confirmed
bidprime.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bidprime.com,disclosure channel confirmed
binclusive.io,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@binclusive.io,disclosure channel confirmed
beveldata.com,FOUND,VDP,disclose.io,https://beveldata.com/.well-known/security.txt,self-hosted,security@beveldata.com,disclosure channel confirmed
billclap.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@billclap.com,disclosure channel confirmed
bitrise.io,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bitrise.io,disclosure channel confirmed
bizaway.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bizaway.com,disclosure channel confirmed
blend-ai.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@blend-ai.com,disclosure channel confirmed
blinq.me,FOUND,VDP,disclose.io,https://blinq.me/security/responsible-disclosure-program,self-hosted,security@blinq.me,disclosure channel confirmed
blocksize.info,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@blocksize.info,disclosure channel confirmed
bitquery.io,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bitquery.io,disclosure channel confirmed
bizstream.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bizstream.com,disclosure channel confirmed
bluegamma.io,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bluegamma.io,disclosure channel confirmed
bmsgroup.com.br,FOUND,VDP,disclose.io,https://www.cert.br/,self-hosted,security@bmsgroup.com.br,disclosure channel confirmed
bluente.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bluente.com,disclosure channel confirmed
blazesql.com,FOUND,VDP,disclose.io,https://csirtsnetwork.eu/,self-hosted,security@blazesql.com,disclosure channel confirmed
bloomberg.com,FOUND,VDP,disclose.io,https://bloomberg.com/.well-known/security.txt,self-hosted,security@bloomberg.com,disclosure channel confirmed
bluetriangle.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bluetriangle.com,disclosure channel confirmed
blockchain0x.com,FOUND,VDP,disclose.io,https://blockchain0x.com/.well-known/security.txt,self-hosted,security@blockchain0x.com,disclosure channel confirmed
blindpay.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@blindpay.com,disclosure channel confirmed
blockscholes.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@blockscholes.com,disclosure channel confirmed
bounceinsights.com,FOUND,VDP,disclose.io,https://bounceinsights.com/.well-known/security.txt,self-hosted,security@bounceinsights.com,disclosure channel confirmed
bonnie.ai,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bonnie.ai,disclosure channel confirmed
bold.security,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bold.security,disclosure channel confirmed
bonafide.ai,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bonafide.ai,disclosure channel confirmed
brale.xyz,FOUND,VDP,disclose.io,https://brale.xyz/.well-known/security.txt,self-hosted,security@brale.xyz,disclosure channel confirmed
boompop.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@boompop.com,disclosure channel confirmed
bnicapital.com,FOUND,VDP,disclose.io,,self-hosted,security@bnicapital.com,disclosure channel confirmed
blueshoe.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@blueshoe.com,disclosure channel confirmed
bridgemarketplace.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bridgemarketplace.com,disclosure channel confirmed
brainfab.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@brainfab.com,disclosure channel confirmed
breakthroughsales.io,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@breakthroughsales.io,disclosure channel confirmed
bradsdeals.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bradsdeals.com,disclosure channel confirmed
breezy.hr,FOUND,VDP,disclose.io,https://csirtsnetwork.eu/,self-hosted,security@breezy.hr,disclosure channel confirmed
brain.fi,FOUND,VDP,disclose.io,https://www.kyberturvallisuuskeskus.fi/en/,self-hosted,security@brain.fi,disclosure channel confirmed
brandsmeetcreators.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@brandsmeetcreators.com,disclosure channel confirmed
brightmls.com,FOUND,VDP,disclose.io,https://brightmls.com/.well-known/security.txt,self-hosted,security@brightmls.com,disclosure channel confirmed
branch.co,FOUND,VDP,disclose.io,https://hackerone.com/priyanshuxo,self-hosted,security@branch.co,disclosure channel confirmed
browserless.io,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@browserless.io,disclosure channel confirmed
brightidea.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@brightidea.com,disclosure channel confirmed
builders.studio,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@builders.studio,disclosure channel confirmed
buffer.com,FOUND,VDP,disclose.io,https://buffer.com/legal#security,self-hosted,security@buffer.com,disclosure channel confirmed
bsteuern.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bsteuern.com,disclosure channel confirmed
briecomterobert.fr,FOUND,VDP,disclose.io,https://www.cert.ssi.gouv.fr/,self-hosted,security@briecomterobert.fr,disclosure channel confirmed
buildwithtrace.com,FOUND,VDP,disclose.io,https://buildwithtrace.com/.well-known/security.txt,self-hosted,security@buildwithtrace.com,disclosure channel confirmed
brightedge.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@brightedge.com,disclosure channel confirmed
bullit.ai,FOUND,VDP,disclose.io,https://www.cyber.gc.ca/en/incident-management,self-hosted,security@bullit.ai,disclosure channel confirmed
builderhead.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@builderhead.com,disclosure channel confirmed
buymeacoffee.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@buymeacoffee.com,disclosure channel confirmed
buddy.works,FOUND,VDP,disclose.io,https://buddy.works/disclosure-policy,self-hosted,security@buddy.works,disclosure channel confirmed
bythen.ai,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bythen.ai,disclosure channel confirmed
bzigo.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bzigo.com,disclosure channel confirmed
caisgroup.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@caisgroup.com,disclosure channel confirmed
bytehide.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bytehide.com,disclosure channel confirmed
cal.com,FOUND,VDP,disclose.io,https://cal.com/.well-known/security.txt,self-hosted,security@cal.com,disclosure channel confirmed
burbio.com,FOUND,VDP,disclose.io,https://burbio.com/.well-known/security.txt,self-hosted,security@burbio.com,disclosure channel confirmed
calendly.com,FOUND,VDP,disclose.io,https://calendly.com/.well-known/security.txt,self-hosted,security@calendly.com,disclosure channel confirmed
callgrid.com,FOUND,VDP,disclose.io,https://callgrid.com/security.txt,self-hosted,security@callgrid.com,disclosure channel confirmed
cabsin.org.br,FOUND,VDP,disclose.io,https://cabsin.org.br/.well-known/security.txt,self-hosted,security@cabsin.org.br,disclosure channel confirmed
bundledocs.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@bundledocs.com,disclosure channel confirmed
canix.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@canix.com,disclosure channel confirmed
capcade.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@capcade.com,disclosure channel confirmed
campaignswell.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@campaignswell.com,disclosure channel confirmed
capsule.video,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@capsule.video,disclosure channel confirmed
canva.com,FOUND,VDP,disclose.io,https://canva.com/.well-known/security.txt,self-hosted,security@canva.com,disclosure channel confirmed
callpercy.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@callpercy.com,disclosure channel confirmed
carbonarc.ai,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@carbonarc.ai,disclosure channel confirmed
candid.org,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@candid.org,disclosure channel confirmed
campcation.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@campcation.com,disclosure channel confirmed
camsbiometrics.com,FOUND,VDP,disclose.io,https://www.cert-in.org.in/,self-hosted,security@camsbiometrics.com,disclosure channel confirmed
carohq.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@carohq.com,disclosure channel confirmed
capta.co,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@capta.co,disclosure channel confirmed
ccare.org.au,FOUND,VDP,disclose.io,https://www.auscert.org.au/report/,self-hosted,security@ccare.org.au,disclosure channel confirmed
carriyo.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@carriyo.com,disclosure channel confirmed
cdsgroupe.com,FOUND,VDP,disclose.io,https://www.cert.ssi.gouv.fr/,self-hosted,security@cdsgroupe.com,disclosure channel confirmed
causematch.com,FOUND,VDP,disclose.io,https://causematch.com/.well-known/security.txt,self-hosted,security@causematch.com,disclosure channel confirmed
cashflowfrog.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@cashflowfrog.com,disclosure channel confirmed
cashcow.com,FOUND,VDP,disclose.io,https://cashcow.com/security.txt,self-hosted,security@cashcow.com,disclosure channel confirmed
cashfree.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@cashfree.com,disclosure channel confirmed
cevoid.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@cevoid.com,disclosure channel confirmed
channel99.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@channel99.com,disclosure channel confirmed
channelkey.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@channelkey.com,disclosure channel confirmed
ceo-cf.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@ceo-cf.com,disclosure channel confirmed
cbinsights.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@cbinsights.com,disclosure channel confirmed
chariow.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@chariow.com,disclosure channel confirmed
cfstinson.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@cfstinson.com,disclosure channel confirmed
cevro.ai,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@cevro.ai,disclosure channel confirmed
checkr.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@checkr.com,disclosure channel confirmed
chisellabs.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@chisellabs.com,disclosure channel confirmed
changdobels.se,FOUND,VDP,disclose.io,https://www.cert.se/en/,self-hosted,security@changdobels.se,disclosure channel confirmed
ceramic.ai,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@ceramic.ai,disclosure channel confirmed
chift.eu,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@chift.eu,disclosure channel confirmed
chartmetric.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@chartmetric.com,disclosure channel confirmed
chipax.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@chipax.com,disclosure channel confirmed
chidoanh.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@chidoanh.com,disclosure channel confirmed
chordian.ai,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@chordian.ai,disclosure channel confirmed
chroniclehq.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@chroniclehq.com,disclosure channel confirmed
chetto.ai,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@chetto.ai,disclosure channel confirmed
cinode.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@cinode.com,disclosure channel confirmed
circuitry.ai,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@circuitry.ai,disclosure channel confirmed
ci-hub.com,FOUND,VDP,disclose.io,https://www.kb.cert.org/vuls/report/,self-hosted,security@ci-hub.com,disclosure channel confirmed
