domain|program_type|platform|source_detection|program_url|contact_email|security_email|batch|notes
embankment.com|DISCLOSURE||security.txt|https://embankment.com/.well-known/security.txt|security@embankment.com||2791|
eukonomy.com|DISCLOSURE||disclose_lookup||security@eukonomy.com||2791|
fastmoss.com|DISCLOSURE||disclose_lookup||security@fastmoss.com||2791|
fastpace.com|DISCLOSURE||disclose_lookup||security@fastpace.com||2791|
finalto.com|DISCLOSURE||disclose_lookup||security@finalto.com||2791|
finnest.ai|DISCLOSURE||disclose_lookup||security@finnest.ai||2791|
fintoc.com|DISCLOSURE||disclose_lookup||security@fintoc.com||2791|
firstround.com|DISCLOSURE||disclose_lookup||https://www.first.org/members/teams/capital_group||2791|
flowcode.com|DISCLOSURE||disclose_lookup||security@flowcode.com||2791|
flowcredi.com.br|DISCLOSURE||disclose_lookup||security@flowcredi.com.br||2791|
forkast.gg|DISCLOSURE||disclose_lookup||security@forkast.gg||2791|
fundify.com|DISCLOSURE||disclose_lookup||security@fundify.com||2791|
genzdealz.ai|DISCLOSURE||disclose_lookup||security@genzdealz.ai||2791|
goldwasserexchange.be|DISCLOSURE||disclose_lookup||security@goldwasserexchange.be||2791|
goodfin.com|DISCLOSURE||disclose_lookup||security@goodfin.com||2791|
goodwatercap.com|DISCLOSURE||disclose_lookup||security@goodwatercap.com||2791|
gpbullhound.com|DISCLOSURE||disclose_lookup||security@gpbullhound.com||2791|
greenstreet.com|DISCLOSURE||disclose_lookup||security@greenstreet.com||2791|
guinnessgi.com|DISCLOSURE||disclose_lookup||security@guinnessgi.com||2791|
gyramais.com.br|DISCLOSURE||security.txt|https://gyramais.com.br/security.txt|hostmaster@gyramais.com.br||2791| gyramais.com.br</title><meta charset="utf-8"/><meta name="description" content="a gyra+ é a plataforma líder em análise de crédito, automação, decision engines e workflows inteligentes para empresas. conheça a gyra+ toolbox."/><meta name="keywords" content="gyra+, gyramais, gyra plus, plataforma de crédito, motor de crédito, análise de crédito automática, automação de decisão"/><meta name="robots" content="index,follow"/><meta name="msapplication-tileimage" content="https, height="0" width="0" style="display
harmoney.in|DISCLOSURE||disclose_lookup||security@harmoney.in||2791|
heavybit.com|DISCLOSURE||disclose_lookup||security@heavybit.com||2791|
hewison.com.au|DISCLOSURE||security.txt|https://hewison.com.au/.well-known/security.txt|it@hewison.com.au||2791|
histellar.com|DISCLOSURE||disclose_lookup||security@histellar.com||2791|
hrsubsidies.nl|DISCLOSURE||disclose_lookup||security@hrsubsidies.nl||2791|
hubpay.io|DISCLOSURE||disclose_lookup||security@hubpay.io||2791|
ibanfirst.com|DISCLOSURE||security.txt|https://ibanfirst.com/.well-known/security.txt|security.txt@ibanfirst.com||2791|
icmarkets.com|DISCLOSURE||disclose_lookup||security@icmarkets.com||2791|
inderes.com|DISCLOSURE||disclose_lookup||security@inderes.com||2791|
indmoney.com|DISCLOSURE||disclose_lookup||https://www.indmoney.com/page/bug-bounty||2791|
influee.co|DISCLOSURE||disclose_lookup||security@influee.co||2791|
inki.tech|DISCLOSURE||disclose_lookup||security@inki.tech||2791|
insurely.com|DISCLOSURE||disclose_lookup||security@insurely.com||2791|
interfacefinancial.com|DISCLOSURE||disclose_lookup||security@interfacefinancial.com||2791|
investdefy.com|DISCLOSURE||disclose_lookup||security@investdefy.com||2791|
investnext.com|DISCLOSURE||disclose_lookup||https://hackerone.com/investnext||2791|
jaz.ai|DISCLOSURE||disclose_lookup||security@jaz.ai||2791|
joinotto.com|DISCLOSURE||security.txt|https://joinotto.com/security.txt|hello@joinotto.com||2791|
karmelcapital.com|DISCLOSURE||disclose_lookup||https://www.first.org/members/teams/capital_group||2791|
kashable.com|PAID_BOUNTY|self-hosted|security_page|https://kashable.com/security.html|||finance|Found at security.html 
kashable.com|DISCLOSURE||security.txt|https://kashable.com/.well-known/security.txt|security@kashable.com||2791|
kilde.sg|DISCLOSURE||disclose_lookup||security@kilde.sg||2791|
klubi.com.br|DISCLOSURE||disclose_lookup||security@klubi.com.br||2791|
kourawealth.co.nz|DISCLOSURE||disclose_lookup||security@kourawealth.co.nz||2791|
kredfeed.com|DISCLOSURE||disclose_lookup||security@kredfeed.com||2791|
kruncher.ai|DISCLOSURE||security.txt|https://kruncher.ai/.well-known/security.txt|security@kruncher.ai||2791|
lawtrades.com|DISCLOSURE||disclose_lookup||security@lawtrades.com||2791|
lendingspot.net|DISCLOSURE||disclose_lookup||security@lendingspot.net||2791|
leverest.net|DISCLOSURE||disclose_lookup||security@leverest.net||2791|
lpanalyst.com|DISCLOSURE||disclose_lookup||security@lpanalyst.com||2791|
luxusco.com|DISCLOSURE||disclose_lookup||security@luxusco.com||2791|
mandaprofinanceiro.com|DISCLOSURE||disclose_lookup||security@mandaprofinanceiro.com||2791|
maniv.com|DISCLOSURE||disclose_lookup||security@maniv.com||2791|
marketxls.com|DISCLOSURE||disclose_lookup||security@marketxls.com||2791|
masters.vc|DISCLOSURE||disclose_lookup||security@masters.vc||2791|
maximo.pe|DISCLOSURE||disclose_lookup||security@maximo.pe||2791|
maya-pci.com|DISCLOSURE||disclose_lookup||https://www.first.org/members/teams/capital_group||2791|
mechanism.com|DISCLOSURE||disclose_lookup||security@mechanism.com||2791|
memberstack.com|DISCLOSURE||disclose_lookup||security@memberstack.com||2791|
mercury.com|DISCLOSURE||disclose_lookup||security@mercury.com||2791|
merrittadvisory.com|DISCLOSURE||disclose_lookup||security@merrittadvisory.com||2791|
miracleplus.com|DISCLOSURE||disclose_lookup||security@miracleplus.com||2791|
mkt1.co|DISCLOSURE||disclose_lookup||security@mkt1.co||2791|
modrek.ai|DISCLOSURE||disclose_lookup||security@modrek.ai||2791|
mollie.com|DISCLOSURE||security.txt||responsible-disclosure@mollie.com||2791|
monest.com.br|DISCLOSURE||disclose_lookup||cyber@monest.com.br||2791|
moodys.com|DISCLOSURE||disclose_lookup||security@moodys.com||2791|
moomoo.com|DISCLOSURE||disclose_lookup||security@moomoo.com||2791|
morepaymentevolution.com|DISCLOSURE||disclose_lookup||security@morepaymentevolution.com||2791|
morgans.com.au|DISCLOSURE||disclose_lookup||security@morgans.com.au||2791|
morningstar.com|DISCLOSURE||disclose_lookup||domainadmin@morningstar.com||2791|
msbureau.com|DISCLOSURE||disclose_lookup||security@msbureau.com||2791|
msci.com|DISCLOSURE||disclose_lookup||https://hackerone.com/msci||2791|
mynyfy.com|DISCLOSURE||disclose_lookup||security@mynyfy.com||2791|
n3xt.io|DISCLOSURE||security.txt|https://n3xt.io/.well-known/security.txt|https://docs.google.com/forms/d/e/1FAIpQLScG4W-eQ93TcObMj__g9XPvmB6zumTEywCERHHiTvsW31RTgQ/viewform||2791|
nachonacho.com|DISCLOSURE||disclose_lookup||security@nachonacho.com||2791|
nickel.com|DISCLOSURE||disclose_lookup||security@nickel.com||2791|
octus.com|DISCLOSURE||disclose_lookup||security@octus.com||2791|
olivepartners.co|DISCLOSURE||security.txt|https://olivepartners.co/.well-known/security.txt|security@olivepartners.co||2791|
onepay.com|DISCLOSURE||disclose_lookup||security@onepay.com||2791|
optimizedpayments.com|DISCLOSURE||disclose_lookup||security@optimizedpayments.com||2791|
optionsamurai.com|DISCLOSURE||disclose_lookup||security@optionsamurai.com||2791|
orbitfin.ai|DISCLOSURE||disclose_lookup||security@wiley.com||2791|
ortex.com|DISCLOSURE||security.txt|https://ortex.com/.well-known/security.txt|security@ortex.com||2791|
outdoorsy.com|DISCLOSURE||disclose_lookup||security@outdoorsy.com||2791|
owlvc.com|DISCLOSURE||disclose_lookup||itsupport@owlvc.com||2791|
parqet.com|DISCLOSURE||disclose_lookup||security@parqet.com||2791|
pavefi.com|DISCLOSURE||disclose_lookup||security@pavefi.com||2791|
payhawk.com|DISCLOSURE||security.txt||security@payhawk.com||2791|
paymob.com|DISCLOSURE||disclose_lookup||security@paymob.com||2791|
payouts.com|DISCLOSURE||disclose_lookup||security@payouts.com||2791|
paytmpayments.com|DISCLOSURE||disclose_lookup||security@paytmpayments.com||2791|
paywall.one|DISCLOSURE||disclose_lookup||security@paywall.one||2791|
pazy.io|DISCLOSURE||disclose_lookup||security@pazy.io||2791|
portao3.com.br|DISCLOSURE||disclose_lookup||security@portao3.com.br||2791|
preqin.com|DISCLOSURE||disclose_lookup||infosec@preqin.com||2791|
printmailsolutions.com|DISCLOSURE||disclose_lookup||security@printmailsolutions.com||2791|
propertymanagement.com|DISCLOSURE||disclose_lookup||security@propertymanagement.com||2791|
prosal.com|DISCLOSURE||disclose_lookup||security@prosal.com||2791|
public.com|PAID_BOUNTY|hackerone|security.txt|https://hackerone.com/).|security@public.com||finance|security.txt found 
public.com|DISCLOSURE||security.txt|https://public.com/security.txt|security@public.com||2791|
quanthome.com|DISCLOSURE||disclose_lookup||security@quanthome.com||2791|
quartr.com|DISCLOSURE||disclose_lookup||security@quartr.com||2791|
quicknode.com|DISCLOSURE||security.txt|https://quicknode.com/security.txt|security@quicknode.com||2791|
quiverquant.com|DISCLOSURE||disclose_lookup||security@quiverquant.com||2791|
racap.com|DISCLOSURE||disclose_lookup||https://www.first.org/members/teams/capital_group||2791|
ramp.com|DISCLOSURE||security.txt|https://ramp.com/.well-known/security.txt|security-external@ramp.com||2791|
rockhopper.co|DISCLOSURE||security.txt|https://rockhopper.co/.well-known/security.txt|security@rockhopper.co||2791| rockhopper</title><meta name="description" content="page not found."><meta name="keywords" content="spreadsheet control, excel version control, finance team collaboration, spreadsheet review, audit trail, soc 2, change tracking, excel collaboration, financial close management, spreadsheet risk management"><link rel="canonical" href="https, </style></head> <body class="font-[inter,ui-sans-serif,system-ui,sans-serif] text-ds-gray-900 antialiased"> <script type="module">(()=>{try{return!1}catch{return!1}})();function r(o,a){let t=o;return a.foreach(n=>{if(n in t){const e=t[n];if(!e
rootline.com|DISCLOSURE||disclose_lookup||security@rootline.com||2791|
roundtreasury.com|DISCLOSURE||disclose_lookup||security@roundtreasury.com||2791|
rupeezy.in|DISCLOSURE||disclose_lookup||security@rupeezy.in||2791|
scanpower.com|DISCLOSURE||disclose_lookup||security@scanpower.com||2791|
shinhansec.com.vn|DISCLOSURE||disclose_lookup||hostmaster@shinhansec.com.vn||2791|
shinkansen.finance|DISCLOSURE||disclose_lookup||security@shinkansen.finance||2791|
smarttbot.com|DISCLOSURE||disclose_lookup||security@smarttbot.com||2791|
sodagift.com|DISCLOSURE||security.txt|https://sodagift.com/.well-known/security.txt|it.admin@sodacrew.com||2791|
sokin.com|DISCLOSURE||disclose_lookup||security@sokin.com||2791|
sorellalabs.xyz|DISCLOSURE||disclose_lookup||security@sorellalabs.xyz||2791|
sourcecodecap.com|DISCLOSURE||disclose_lookup||security@sourcecodecap.com||2791|
southparkcommons.com|DISCLOSURE||disclose_lookup||security@southparkcommons.com||2791|
spotpay.ai|DISCLOSURE||disclose_lookup||security@spotpay.ai||2791|
stocktwits.com|DISCLOSURE||disclose_lookup||security@stocktwits.com||2791|
sumup.com|DISCLOSURE||security.txt|https://sumup.com/.well-known/security.txt|bugbounty@sumup.com||2791|
swrecovery.com|DISCLOSURE||disclose_lookup||security@swrecovery.com||2791|
synply.io|DISCLOSURE||disclose_lookup||security@synply.io||2791|
tavanbogd.com|DISCLOSURE||disclose_lookup||administrator@tavanbogd.com||2791|
tax1099.com|DISCLOSURE||disclose_lookup||security@tax1099.com||2791|
taxrise.com|DISCLOSURE||disclose_lookup||security@taxrise.com||2791|
tbobank.com|DISCLOSURE||disclose_lookup||security@tbobank.com||2791|
techstars.com|DISCLOSURE||disclose_lookup||security@techstars.com||2791|
tenderly.co|DISCLOSURE||disclose_lookup||security@tenderly.co||2791|
tera.cloud|DISCLOSURE||disclose_lookup||security@tera.cloud||2791|
thefly.com|DISCLOSURE||security.txt|https://thefly.com/security.txt|security@thefly.com||2791|
thorney.com.au|DISCLOSURE||disclose_lookup||security@thorney.com.au||2791|
tidewatercap.com|DISCLOSURE||disclose_lookup||https://www.first.org/members/teams/capital_group||2791|
tipranks.com|DISCLOSURE||disclose_lookup||security@tipranks.com||2791|
tokenterminal.com|DISCLOSURE||disclose_lookup||security@tokenterminal.com||2791|
toss.im|DISCLOSURE||disclose_lookup||security@toss.im||2791|
totemvc.com|DISCLOSURE||disclose_lookup||security@totemvc.com||2791|
tradestation.com|DISCLOSURE||disclose_lookup||dnreg@tradestation.com||2791|
tradier.com|DISCLOSURE||security.txt|https://tradier.com/.well-known/security.txt|https://tradier.com/legal/vulnerability-disclosure-policy||2791|
trepp.com|DISCLOSURE||disclose_lookup||security@trepp.com||2791|
trysmartbite.com|DISCLOSURE||disclose_lookup||security@trysmartbite.com||2791|
tryspecter.com|DISCLOSURE||disclose_lookup||security@tryspecter.com||2791|
tuyo.com|DISCLOSURE||disclose_lookup||security@tuyo.com||2791|
unest.co|DISCLOSURE||disclose_lookup||security@unest.co||2791|
unifiqueinvest.com.br|DISCLOSURE||disclose_lookup||security@unifiqueinvest.com.br||2791|
unify-technologies.com|DISCLOSURE||disclose_lookup||security@unify-technologies.com||2791|
upstox.com|PAID_BOUNTY|self-hosted|security_page|https://upstox.com/bug-bounty|||finance|Found at bug-bounty 
upstox.com|DISCLOSURE||disclose_lookup||https://upstox.com/bug-bounty/||2791|
valuein.biz|DISCLOSURE||disclose_lookup||security@valuein.biz||2791|
vblh.de|DISCLOSURE||security.txt|https://vblh.de/.well-known/security.txt|security-contact@atruvia.de||2791|
vela.partners|DISCLOSURE||disclose_lookup||security@vela.partners||2791|
versi.com.br|DISCLOSURE||disclose_lookup||security@versi.com.br||2791|
vico.io|DISCLOSURE||disclose_lookup||security@vico.io||2791|
vntr.vc|DISCLOSURE||disclose_lookup||security@vntr.vc||2791|
vrnu.de|DISCLOSURE||security.txt|https://vrnu.de/.well-known/security.txt|security-contact@atruvia.de||2791|
vvr-bank.de|DISCLOSURE||security.txt|https://vvr-bank.de/.well-known/security.txt|security-contact@atruvia.de||2791|
wasabil.com|DISCLOSURE||disclose_lookup||security@wasabil.com||2791|
we-wealth.com|DISCLOSURE||disclose_lookup||security@we-wealth.com||2791|
wecapital.com.br|DISCLOSURE||disclose_lookup||hostmaster@locaweb.com.br||2791|
wtax.co|DISCLOSURE||disclose_lookup||security@wtax.co||2791|
xyt.one|DISCLOSURE||disclose_lookup||security@xyt.one||2791|
ycharts.com|DISCLOSURE||disclose_lookup||security@ycharts.com||2791|
yoco.com|DISCLOSURE||disclose_lookup||security@yoco.com||2791|
zestyfinance.com|DISCLOSURE||disclose_lookup||security@zestyfinance.com||2791|
zubi.group|DISCLOSURE||disclose_lookup||security@zubi.group||2791|
