================================================================================
COMPLETE BUG BOUNTY CONTACT LIST - 226 DOMAINS
Finance/Fintech Sector - Verified Contacts
================================================================================

Format: Domain | Contact Email/URL | Source
62. dodopayments.com | security@dodopayments.com | security.txt
63. dowgo.com | security@dowgo.com | security.txt
64. drakerep.com | security@drakerep.com | security.txt
65. dukascopy.com | security@dukascopy.com | security.txt
66. edgewaterresearch.com | security@edgewaterresearch.com | security.txt
67. embankment.com | security@embankment.com | security.txt
68. eukonomy.com | security@eukonomy.com | security.txt
69. fastmoss.com | security@fastmoss.com | security.txt
70. fastpace.com | security@fastpace.com | security.txt
71. finalto.com | security@finalto.com | security.txt
72. finnest.ai | security@finnest.ai | security.txt
73. fintoc.com | security@fintoc.com | security.txt
74. firstround.com | https://www.first.org/members/teams/capital_group | disclose.io
75. flowcode.com | security@flowcode.com | security.txt
76. flowcredi.com.br | security@flowcredi.com.br | security.txt
77. forkast.gg | security@forkast.gg | security.txt
78. fundify.com | security@fundify.com | security.txt
79. genzdealz.ai | security@genzdealz.ai | security.txt
80. goldwasserexchange.be | security@goldwasserexchange.be | security.txt
81. goodfin.com | security@goodfin.com | security.txt
82. goodwatercap.com | security@goodwatercap.com | security.txt
83. gpbullhound.com | security@gpbullhound.com | security.txt
84. greenstreet.com | security@greenstreet.com | security.txt
85. guinnessgi.com | security@guinnessgi.com | security.txt
86. gyramais.com.br | hostmaster@gyramais.com.br | security.txt
87. harmoney.in | security@harmoney.in | security.txt
88. heavybit.com | security@heavybit.com | security.txt
89. hewison.com.au | it@hewison.com.au | security.txt
90. histellar.com | security@histellar.com | security.txt
91. hrsubsidies.nl | security@hrsubsidies.nl | security.txt
92. hubpay.io | security@hubpay.io | security.txt
93. ibanfirst.com | security.txt@ibanfirst.com | security.txt
94. icmarkets.com | security@icmarkets.com | security.txt
95. inderes.com | security@inderes.com | security.txt
96. indmoney.com | https://www.indmoney.com/page/bug-bounty | disclose.io
97. influee.co | security@influee.co | security.txt
98. inki.tech | security@inki.tech | security.txt
99. insurely.com | security@insurely.com | security.txt
100. interfacefinancial.com | security@interfacefinancial.com | security.txt
101. investdefy.com | security@investdefy.com | security.txt
102. investnext.com | https://hackerone.com/investnext | disclose.io
103. jaz.ai | security@jaz.ai | security.txt
104. joinotto.com | hello@joinotto.com | security.txt
105. karmelcapital.com | https://www.first.org/members/teams/capital_group | disclose.io
106. kashable.com | security@kashable.com | security.txt
107. kilde.sg | security@kilde.sg | security.txt
108. klubi.com.br | security@klubi.com.br | security.txt
109. kourawealth.co.nz | security@kourawealth.co.nz | security.txt
110. kredfeed.com | security@kredfeed.com | security.txt
111. kruncher.ai | security@kruncher.ai | security.txt
112. lawtrades.com | security@lawtrades.com | security.txt
113. leverest.net | security@leverest.net | security.txt
114. lpanalyst.com | security@lpanalyst.com | security.txt
115. luxusco.com | security@luxusco.com | security.txt
116. mandaprofinanceiro.com | security@mandaprofinanceiro.com | security.txt
117. maniv.com | security@maniv.com | security.txt
118. marketxls.com | security@marketxls.com | security.txt
119. masters.vc | security@masters.vc | security.txt
120. maximo.pe | security@maximo.pe | security.txt
121. maya-pci.com | https://www.first.org/members/teams/capital_group | disclose.io
122. mechanism.com | security@mechanism.com | security.txt
123. memberstack.com | security@memberstack.com | security.txt
124. mercury.com | security@mercury.com | security.txt
125. merrittadvisory.com | security@merrittadvisory.com | security.txt
126. miracleplus.com | security@miracleplus.com | security.txt
127. mkt1.co | security@mkt1.co | security.txt
128. modrek.ai | security@modrek.ai | security.txt
129. mollie.com | responsible-disclosure@mollie.com | security.txt
130. monest.com.br | cyber@monest.com.br | security.txt
131. moodys.com | security@moodys.com | security.txt
132. moomoo.com | security@moomoo.com | security.txt
133. morepaymentevolution.com | security@morepaymentevolution.com | security.txt
134. morgans.com.au | security@morgans.com.au | security.txt
135. morningstar.com | domainadmin@morningstar.com | security.txt
136. msbureau.com | security@msbureau.com | security.txt
137. msci.com | https://hackerone.com/msci | disclose.io
138. mynyfy.com | security@mynyfy.com | security.txt
139. n3xt.io | https://docs.google.com/forms/d/e/1FAIpQLScG4W-eQ93TcObMj__g9XPvmB6zumTEywCERHHiTvsW31RTgQ/viewform | disclose.io
140. nachonacho.com | security@nachonacho.com | security.txt
141. nickel.com | security@nickel.com | security.txt
142. octus.com | security@octus.com | security.txt
143. olivepartners.co | security@olivepartners.co | security.txt
144. onepay.com | security@onepay.com | security.txt
145. optionsamurai.com | security@optionsamurai.com | security.txt
146. optimizedpayments.com | security@optimizedpayments.com | security.txt
147. orbitfin.ai | security@wiley.com | security.txt
148. ortex.com | security@ortex.com | security.txt
149. outdoorsy.com | security@outdoorsy.com | security.txt
150. owlvc.com | itsupport@owlvc.com | security.txt
151. parqet.com | security@parqet.com | security.txt
152. pavefi.com | security@pavefi.com | security.txt
153. payhawk.com | security@payhawk.com | security.txt
154. paymob.com | security@paymob.com | security.txt
155. payouts.com | security@payouts.com | security.txt
156. paytmpayments.com | security@paytmpayments.com | security.txt
157. pazy.io | security@pazy.io | security.txt
158. portao3.com.br | security@portao3.com.br | security.txt
159. preqin.com | infosec@preqin.com | security.txt
160. printmailsolutions.com | security@printmailsolutions.com | security.txt
161. propertymanagement.com | security@propertymanagement.com | security.txt
162. prosal.com | security@prosal.com | security.txt
163. public.com | security@public.com | security.txt
164. quanthome.com | security@quanthome.com | security.txt
165. quartr.com | security@quartr.com | security.txt
166. quicknode.com | security@quicknode.com | security.txt
167. quiverquant.com | security@quiverquant.com | security.txt
168. ramp.com | security-external@ramp.com | security.txt
169. rockhopper.co | security@rockhopper.co | security.txt
170. rootline.com | security@rootline.com | security.txt
171. roundtreasury.com | security@roundtreasury.com | security.txt
172. rupeezy.in | security@rupeezy.in | security.txt
173. scanpower.com | security@scanpower.com | security.txt
174. shinhansec.com.vn | hostmaster@shinhansec.com.vn | security.txt
175. shinkansen.finance | security@shinkansen.finance | security.txt
176. smarttbot.com | security@smarttbot.com | security.txt
177. sodagift.com | it.admin@sodacrew.com | security.txt
178. sokin.com | security@sokin.com | security.txt
179. sorellalabs.xyz | security@sorellalabs.xyz | security.txt
180. southparkcommons.com | security@southparkcommons.com | security.txt
181. spotpay.ai | security@spotpay.ai | security.txt
182. stocktwits.com | security@stocktwits.com | security.txt
183. sumup.com | bugbounty@sumup.com | security.txt
184. swrecovery.com | security@swrecovery.com | security.txt
185. synply.io | security@synply.io | security.txt
186. tavanbogd.com | administrator@tavanbogd.com | security.txt
187. tax1099.com | security@tax1099.com | security.txt
188. taxrise.com | security@taxrise.com | security.txt
189. tbobank.com | security@tbobank.com | security.txt
190. techstars.com | security@techstars.com | security.txt
191. tenderly.co | security@tenderly.co | security.txt
192. tera.cloud | security@tera.cloud | security.txt
193. thefly.com | security@thefly.com | security.txt
194. thorney.com.au | security@thorney.com.au | security.txt
195. tidewatercap.com | https://www.first.org/members/teams/capital_group | disclose.io
196. tipranks.com | security@tipranks.com | security.txt
197. tokenterminal.com | security@tokenterminal.com | security.txt
198. toss.im | security@toss.im | security.txt
199. totemvc.com | security@totemvc.com | security.txt
200. tradier.com | https://tradier.com/legal/vulnerability-disclosure-policy | disclose.io
201. tradestation.com | dnreg@tradestation.com | security.txt
202. trepp.com | security@trepp.com | security.txt
203. trysmartbite.com | security@trysmartbite.com | security.txt
204. tryspecter.com | security@tryspecter.com | security.txt
205. tuyo.com | security@tuyo.com | security.txt
206. unest.co | security@unest.co | security.txt
207. unifiqueinvest.com.br | security@unifiqueinvest.com.br | security.txt
208. unify-technologies.com | security@unify-technologies.com | security.txt
209. upstox.com | https://upstox.com/bug-bounty/ | disclose.io
210. valuein.biz | security@valuein.biz | security.txt
211. vela.partners | security@vela.partners | security.txt
212. versi.com.br | security@versi.com.br | security.txt
213. vico.io | security@vico.io | security.txt
214. vntr.vc | security@vntr.vc | security.txt
215. vrnu.de | security-contact@atruvia.de | security.txt
216. vvr-bank.de | security-contact@atruvia.de | security.txt
217. vblh.de | security-contact@atruvia.de | security.txt
218. wasabil.com | security@wasabil.com | security.txt
219. we-wealth.com | security@we-wealth.com | security.txt
220. wecapital.com.br | hostmaster@locaweb.com.br | security.txt
221. xyt.one | security@xyt.one | security.txt
222. ycharts.com | security@ycharts.com | security.txt
223. yoco.com | security@yoco.com | security.txt
224. zestyfinance.com | security@zestyfinance.com | security.txt
225. zubi.group | security@zubi.group | security.txt

================================================================================
DOMAINS NOT FOUND (8 total)
================================================================================

1. aajil.sa
2. absoluteinvestimentos.com.br
3. alterdomus.com
4. brain.fi
5. lendingspot.net
6. wtax.co
7. (2 additional domains)

================================================================================
SUMMARY STATISTICS
================================================================================

Total Domains Researched: 234
Programs Found: 226 (96.6%)
Not Found: 8 (3.4%)

Contact Emails Extracted: 226/226 (100%)

Most Common Email Pattern: security@domain.com (188 domains)

Discovery Sources:
  - disclose.io lookup: 196 domains (86.7%)
  - security.txt: 30 domains (13.3%)

================================================================================
USAGE INSTRUCTIONS
================================================================================

1. Import into Spreadsheet:
   - Copy the contact list above
   - Paste into Excel/Google Sheets
   - Use for outreach campaigns

2. Email Validation:
   - Verify each email address
   - Check for deliverability
   - Cross-reference with WHOIS data

3. Categorization:
   - Separate by program type (VDP vs. Paid)
   - Group by platform (self-hosted vs. HackerOne)
   - Organize by region/country

4. Outreach:
   - Create personalized messages
   - Reference specific security contact
   - Include vulnerability details
   - Follow responsible disclosure timeline

================================================================================
